,angle,VV_db,VV_db2,VV_var_db,VV_var_db2,GPM,P6d
2020-06-15,35.12987518310547,-12.58967265766173,-12.26152632656348,-31.13747413407555,-33.50380432050446,7.7305675243842416,52.868
2020-06-15,35.12987518310547,-12.58967265766173,-12.26152632656348,-31.13747413407555,-33.50380432050446,7.7305675243842416,52.868
2020-07-03,35.13817977905273,-12.26152632656348,-13.67399840409817,-33.50380432050446,-29.04079948222168,35.73514709241863,42.08199999999999
2020-07-03,35.13817977905273,-12.26152632656348,-13.67399840409817,-33.50380432050446,-29.04079948222168,35.73514709241863,42.08199999999999
2020-07-09,35.12796783447266,-13.67399840409817,-14.19129928196722,-29.04079948222168,-28.52845566618934,23.749909328509677,10.067
2020-07-09,35.12796783447266,-13.67399840409817,-14.19129928196722,-29.04079948222168,-28.52845566618934,23.749909328509677,10.067
2020-07-15,35.13724136352539,-14.19129928196722,-9.627730762395325,-28.52845566618934,-33.48344117960706,31.91708969363691,1.956999999999999
2020-07-15,35.13724136352539,-14.19129928196722,-9.627730762395325,-28.52845566618934,-33.48344117960706,31.91708969363691,1.956999999999999
2020-07-21,35.12949371337891,-9.627730762395325,-12.84358921994165,-33.48344117960706,-31.3922376452311,51.441378209972754,4.763
2020-07-21,35.12949371337891,-9.627730762395325,-12.84358921994165,-33.48344117960706,-31.3922376452311,51.441378209972754,4.763
2020-07-27,35.13172912597656,-12.84358921994165,-11.93796647975734,-31.3922376452311,-33.20416632363268,6.225709552527405,8.116000000000001
2020-07-27,35.13172912597656,-12.84358921994165,-11.93796647975734,-31.3922376452311,-33.20416632363268,6.225709552527405,8.116000000000001
2020-08-02,35.12958526611328,-11.93796647975734,-13.3589684648487,-33.20416632363268,-34.62202387356666,1.5956202424131334,0.255
2020-08-02,35.12958526611328,-11.93796647975734,-13.3589684648487,-33.20416632363268,-34.62202387356666,1.5956202424131334,0.255
2020-08-08,35.13858413696289,-13.3589684648487,-10.82263280503021,-34.62202387356666,-34.0523951046297,0.32964168022891727,0.034
2020-08-08,35.13858413696289,-13.3589684648487,-10.82263280503021,-34.62202387356666,-34.0523951046297,0.32964168022891727,0.034
2020-08-14,35.12808609008789,-10.82263280503021,-11.36669876975848,-34.0523951046297,-28.78984977747651,44.171145238215104,39.698
2020-08-14,35.12808609008789,-10.82263280503021,-11.36669876975848,-34.0523951046297,-28.78984977747651,44.171145238215104,39.698
2020-08-20,35.13922119140625,-11.36669876975848,-12.69956364820929,-28.78984977747651,-28.82531158924614,39.85423898252748,4.454
2020-08-20,35.13922119140625,-11.36669876975848,-12.69956364820929,-28.78984977747651,-28.82531158924614,39.85423898252748,4.454
2020-08-26,35.12910461425781,-12.69956364820929,-12.82150198158505,-28.82531158924614,-26.50544266511793,6.58087551368004,77.176
2020-08-26,35.12910461425781,-12.69956364820929,-12.82150198158505,-28.82531158924614,-26.50544266511793,6.58087551368004,77.176
2020-09-01,35.13979721069336,-12.82150198158505,-10.06108776497342,-26.50544266511793,-28.05685821819589,16.698591423177277,21.85400000000001
2020-09-01,35.13979721069336,-12.82150198158505,-10.06108776497342,-26.50544266511793,-28.05685821819589,16.698591423177277,21.85400000000001
2020-09-07,35.13177490234375,-10.06108776497342,-14.24091386337806,-28.05685821819589,-33.5972307977261,28.647733223857358,55.89
2020-09-07,35.13177490234375,-10.06108776497342,-14.24091386337806,-28.05685821819589,-33.5972307977261,28.647733223857358,55.89
2020-09-13,35.14189147949219,-14.24091386337806,-12.72066066755012,-33.5972307977261,-28.92507091968351,7.5608939402554824,55.274
2020-09-13,35.14189147949219,-14.24091386337806,-12.72066066755012,-33.5972307977261,-28.92507091968351,7.5608939402554824,55.274
2020-09-19,35.13083267211914,-12.72066066755012,-12.55752284933198,-28.92507091968351,-31.67409114324105,89.89380218513543,19.236
2020-09-19,35.13083267211914,-12.72066066755012,-12.55752284933198,-28.92507091968351,-31.67409114324105,89.89380218513543,19.236
2020-09-25,35.14065551757812,-12.55752284933198,-10.34767565536385,-31.67409114324105,-31.94700711104046,42.02196717588231,18.723
2020-09-25,35.14065551757812,-12.55752284933198,-10.34767565536385,-31.67409114324105,-31.94700711104046,42.02196717588231,18.723
2020-10-01,35.12958908081055,-10.34767565536385,-11.67054172318777,-31.94700711104046,-31.20654676520879,45.27935388730839,39.293
2020-10-01,35.12958908081055,-10.34767565536385,-11.67054172318777,-31.94700711104046,-31.20654676520879,45.27935388730839,39.293
2020-10-07,35.13979721069336,-11.67054172318777,-10.79867144292833,-31.20654676520879,-28.04108620656848,5.444333809777163,9.68
2020-10-07,35.13979721069336,-11.67054172318777,-10.79867144292833,-31.20654676520879,-28.04108620656848,5.444333809777163,9.68
2020-10-13,35.1288948059082,-10.79867144292833,-13.2683673574008,-28.04108620656848,-33.56494582916847,44.71001423679991,20.032
